模式	频数
1,9,7,4,6,10,8	22
11,9,7,0,2	73
11,5,9,4,6,10	23
1,9,7,6,8,2	33
11,5,9,4,6,12	24
1,5,9,10,8,12	26
1,9,4,6,3,8,2	20
9,7,4,3,8,2	32
1,9,4,2,12	62
9,7,4,10,2,12	23
11,7,3,0,8,2	32
5,9,7,6,0,12	27
1,4,6,0,8,2	35
1,5,7,4,8,12	29
1,6,0,12	121
11,1,3,10,8,12	35
1,9,4,3,10	59
11,7,4,10,2,12	32
11,9,7,0,8	70
1,9,4,3,12	60
1,9,10,0,8,2	32
1,9,7,6,0,2,12	19
5,3,0,8	123
11,1,7,6,0,12	33
5,9,6,0,8	55
5,4,6,0,2,12	42
1,5,9,10,2,12	32
11,5,7,6,3,8,2	28
5,9,10,0,2,12	27
5,3,0,2	152
11,9,6,3,10,0,8	16
11,5,10,0,12	75
11,9,6,3,0,2,12	17
5,9,6,0,2	70
1,5,4,3,8,12	33
11,7,3,10,8	63
1,9,4,6,10,12	29
1,9,6,10,12	56
1,6,3,12	128
11,7,3,10,2	55
9,7,4,10,8,12	27
11,7,3,10,0	63
11,1,6,8,12	58
1,6,3,10	124
11,5,9,4,10,0,8	17
9,7,6,8,2,12	31
11,1,10,0,2,12	31
11,9,7,3,2	73
11,5,6,3,8,12	31
11,9,7,3,0	66
1,5,7,6,0,8,2	19
9,4,10,0,8,12	30
5,4,6,10,0,2	35
1,5,10,0,8,2,12	20
1,6,2,12	134
11,1,9,4,6,3,0,8	16
3,10,0,8,2	57
5,9,3,10,8,12	18
5,4,6,10,0,8	36
1,9,7,6,10,0,8	17
1,7,4,3,10,0	27
11,5,9,4,0,12	34
11,9,7,6,3,2,12	18
1,5,7,4,2,12	35
5,7,4,6,0,8,2	18
11,5,6,3,0,8,2	26
1,7,4,3,10,2	29
1,7,4,3,10,8	27
11,1,9,6,0,8,2	20
11,7,4,10,0,12	37
0,2,12	238
11,9,7,4,6	69
11,9,7,4,3	68
11,9,7,4,2	67
1,5,9,6,3,8,12	18
11,9,7,4,0	74
1,5,7,4,3,10	29
11,4,3,10,0,8,12	16
1,5,10,0,2	67
11,5,3,8,2	72
11,5,10,2,12	72
10,0,8	234
7,4,3,10,2,12	17
11,4,3,0,8,12	31
10,0,2	226
1,5,7,4,3,12	24
1,7,6,8,12	52
1,5,0,2,12	75
11,9,4,6,2,12	23
11,9,7,3,8	67
11,1,9,7,10,2,12	16
11,5,9,4,3,12	32
11,5,9,4,3,10	30
9,7,4,6,0,2,12	18
1,5,3,0,8,12	40
11,7,6,3,10,0	30
4,6,3,0,8	65
1,5,10,0,8	66
11,5,9,4,0,2,12	19
4,6,3,0,2	66
11,7,6,3,10,8	30
11,9,4,6,3,10	32
11,5,9,4,2,12	33
11,9,4,6,3,12	29
11,9,7,6,3,0,12	17
11,7,6,3,10,2	26
11,9,7,4,8	66
5,4,6,0,12	61
11,9,7,6,8	66
11,1,5,9,3,10,0	16
11,1,9,7,10,2	31
5,9,6,3,2,12	38
11,1,9,7,10,0	36
11,9,7,6,3	66
9,4,3,10,0,8	30
11,9,7,6,2	73
11,9,7,6,0	69
9,7,0,2	127
11,1,9,4,3,0,8	27
11,1,9,7,10,8	32
11,1,9,4,3,0,2	26
11,5,9,6,10,12	22
9,7,0,8	132
7,4,3,10,0,12	21
1,9,4,8,12	63
11,1,5,7,10,0,12	22
9,4,6,3,10,12	21
11,5,6,3,2,12	36
11,9,4,6,0,12	28
11,7,0,12	128
9,4,3,10,0,2	30
5,4,3,10,0,8,2	19
11,1,6,3,10,0,2	18
1,9,7,6,3,0	28
1,5,3,10,0,8	34
1,9,7,6,3,2	30
11,4,3,0,2,12	36
1,9,6,3,0,2	40
11,4,0,8,2	68
11,1,6,3,10,0,8	25
7,6,10,0,2	62
11,7,4,3,0,8	27
7,6,10,0,8	54
11,7,4,3,0,2	38
1,9,7,6,3,8	31
1,9,6,3,0,8	40
1,5,3,10,0,2	36
11,4,3,10,0,8	36
9,4,3,0,2,12	30
1,5,3,0,2,12	47
11,1,9,3,8,12	35
11,1,3,10,2,12	32
11,4,3,10,0,2	38
1,5,9,6,3,2,12	24
11,4,6,3,10,12	33
5,10,0,12	127
1,5,9,10,0,12	30
11,5,7,6,8,12	27
11,9,7,8,2	68
11,1,6,3,0,2,12	19
1,9,7,6,0,2	31
1,5,6,3,10,12	31
1,5,9,4,3,0,2,12	16
1,9,7,6,0,8	34
9,7,3,0	124
9,7,3,2	127
11,1,5,7,3,8,2	22
11,1,7,6,3,0,12	16
5,9,4,6,3,2,12	16
5,7,0,8,2	72
1,5,9,0,12	61
7,3,10,0	112
11,1,5,4,3,10,12	19
9,7,4,3,0,2	39
7,6,0,2,12	69
1,6,8,12	113
9,4,10,0,2,12	25
5,9,7,10,12	54
9,7,4,3,0,8	33
1,5,9,3,8,2	36
11,1,5,9,3,0,2,12	18
7,3,10,2	85
0,8,12	219
5,9,7,6,8,12	22
11,1,3,10,0,12	38
1,5,7,4,0,12	35
11,1,10,0,8,12	35
1,9,4,6,10,8,12	18
7,3,10,8	101
11,5,10,8,12	60
11,1,5,8,2,12	35
9,7,6,3,10,2	21
7,4,6,10,8	60
4,10,0	251
7,10,0,8,2	57
9,7,6,3,10,0	25
5,10,2,12	121
5,4,6,8,12	57
4,10,2	228
1,5,9,3,0,2	42
9,7,4,6	129
9,7,4,8	121
11,9,6,0,8,2,12	19
4,10,8	245
1,5,9,3,0,8	33
11,7,8,2,12	56
5,9,6,8,2	63
1,5,4,3,0,12	37
1,5,0,8,12	69
9,7,4,10,0,12	29
1,5,4,3,8,2,12	26
7,4,6,10,0	59
11,5,4,10,12	66
7,4,6,10,2	52
9,7,6,3,10,8	23
1,5,4,10,0	72
5,4,6,10,8,2	33
1,5,4,10,2	73
11,4,6,10,0,8,2	21
5,9,7,6,2,12	31
1,5,4,10,8	70
11,1,5,7,3,0,8	20
4,6,10,2,12	63
9,7,3,8	122
11,1,5,7,3,0,2	26
10,8,2	218
9,7,4,0	134
9,7,4,2	124
11,5,3,0,8,2,12	24
9,7,4,3	126
7,6,10,0,8,12	24
11,5,7,6,3,0,8	18
11,5,7,6,2,12	34
11,5,7,6,3,0,2	19
1,5,4,6,10,8,2	23
5,3,8,2	130
5,9,6,3,0,12	33
1,5,10,8,2	58
11,9,6,3,0,8,12	17
5,9,7,6,3,10	21
5,9,7,6,3,12	25
1,9,7,6,0,8,12	20
11,1,5,9,3,0,8,12	16
9,7,6,8	126
1,5,4,6,0,8,12	18
5,4,6,0,8,12	28
4,0,8,2	127
1,9,4,6,12	60
1,5,4,3,2,12	39
1,9,4,6,10	70
11,5,7,6,3,10	31
11,5,7,6,3,12	29
1,9,3,10,0,8,2	18
11,5,6,3,0,12	37
4,6,3,8,2	68
1,5,9,7,6,2,12	16
11,9,10,12	127
4,6,10,0,12	63
1,5,7,6,10,12	24
9,7,6,0	124
11,9,7,6,3,8,12	18
5,7,4,3,10,12	20
9,7,6,2	131
9,7,6,3	120
11,5,4,6,3,8,12	18
1,5,9,6,3,0,12	21
9,4,3,0,8,12	27
5,4,3,8,2,12	36
9,4,6,10,0,12	28
1,7,4,3,0,8,2	18
11,1,9,4,3,8,2	25
11,7,4,6,3,0,2	19
1,9,6,3,0	66
11,1,5,7,4,10,12	18
1,9,6,3,2	78
11,1,6,3,0,8,12	22
11,1,5,9,8,2	32
1,9,6,3,8	71
9,7,4,6,10,8	35
1,5,7,4,10,0,12	18
9,7,4,6,10,0	32
5,7,4,10,0,8	27
5,7,4,10,0,2	29
1,9,0,8,2,12	41
1,5,9,6,10	57
11,1,5,9,8,2,12	19
9,7,4,6,10,2	29
1,5,9,6,12	54
1,9,7,10,0,8,2	17
11,1,9,7,4,0,2	22
11,5,9,10,0,8,2	16
1,5,7,4,3,8,2	19
11,1,9,7,4,0,8	22
1,5,4,3,0,8,12	22
1,9,7,4,8,12	30
11,1,5,9,7,0	41
4,6,3,10,8,12	28
11,1,5,9,7,2	38
9,7,8,2	123
11,1,5,9,7,3	35
11,1,5,9,7,4	34
11,1,5,9,7,6	39
4,10,0,8,12	59
11,1,5,9,7,8	39
11,1,9,4,10,0,12	17
11,1,6,3,10,8,2	19
1,4,6,0,12	64
5,4,3,0,8,2	45
1,5,9,7,10	59
11,7,4,6,3,0,8	17
1,5,9,7,12	56
9,4,0,8,2	68
11,1,9,3,0,12	39
9,4,6,10,2,12	26
5,9,7,0,8,2,12	17
9,0,12	232
5,10,8,12	107
11,1,5,9,6,0	37
11,1,5,9,6,2	35
7,6,10,8,2	54
11,1,5,9,6,3	34
1,5,7,4,10,2,12	17
11,1,5,9,6,8	32
1,9,4,10,0,8,12	19
1,5,9,8,12	58
11,1,6,0,8,2,12	17
5,4,10,12	113
11,1,4,6,3,8	46
11,1,4,6,3,2	37
11,1,4,6,3,0	40
1,9,7,4,6,10	35
1,9,7,4,6,12	31
11,1,9,6,3,10,2	16
9,4,6,3,8,2	32
5,9,4,6,8,2	26
7,8,2,12	112
11,9,7,4,6,8,2	17
7,3,8,2,12	49
11,10,12	258
1,9,3,10,8,2	27
11,1,9,6,3,10,8	19
11,5,7,6,0,12	33
11,1,5,3,10,0	42
9,7,6,0,2,12	38
11,1,5,3,10,2	40
1,6,10,0,2,12	35
11,5,9,7,4,10,8	17
9,2,12	225
11,1,5,3,10,8	33
11,5,9,7,4,10,0	17
11,6,2,12	125
11,9,6,3,8,2,12	16
11,9,6,3,8,12	31
11,1,4,6,8,2	33
11,9,6,0,12	60
1,9,7,4,3,10	24
1,9,7,4,3,12	23
5,9,7,3,0,8,12	17
5,4,6,8,2,12	33
11,5,9,7,0,8,12	22
1,5,9,2,12	65
11,5,3,10,8,12	33
9,3,10	221
9,3,12	227
11,1,10,8,2,12	26
9,7,6,10,0,2	30
7,6,0,8,12	56
1,9,6,0,2	70
1,9,4,3,8,12	32
1,6,3,10,8,12	34
9,7,6,10,0,8	33
11,6,3,12	121
11,6,3,10	125
1,9,6,0,8	69
11,5,4,6,3,2,12	21
11,7,6,0,8,2	39
7,4,6,3,0,12	27
1,5,9,4,6,2,12	18
1,5,9,3,10	50
1,5,9,3,12	59
9,4,10	241
9,4,12	220
4,6,3,10,0,12	28
11,1,9,7,6,10,0	16
1,9,3,0,8,12	37
11,9,6,2,12	59
5,9,4,6,3,2	30
11,1,9,10,12	66
9,7,3,10,2	41
5,9,4,6,3,0	31
9,7,3,10,0	54
1,5,4,3,10,8,2	18
11,1,5,7,10,2,12	21
5,9,4,6,3,8	28
11,6,0,12	125
11,9,7,3,10,0,12	16
1,4,6,3,12	60
9,7,3,10,8	47
1,5,9,4,10	60
1,7,4,6,3,10,8	16
1,5,9,4,12	57
1,4,6,3,10	70
4,6,10,8,12	62
1,5,7,6,3,10,0	19
1,5,7,6,3,10,2	17
1,5,4,0,8,2,12	27
1,9,7,4,2,12	31
11,9,6,3,12	60
4,6,3,10,2,12	30
11,9,6,3,10	56
5,7,4,0,2,12	39
11,1,9,3,2,12	40
11,1,5,6,0,8,2	21
7,4,6,3,2,12	30
11,5,10,0,2,12	41
1,4,6,2,12	68
11,5,4,6,3,0,12	20
9,4,6,3,0,8,2	20
9,6,10	234
9,6,12	222
5,7,4,10,8,2	26
11,5,6,10,8	64
1,9,6,3,10,12	27
1,9,3,0,2,12	42
11,5,6,10,2	57
1,5,6,0,8,12	33
11,5,6,10,0	68
11,7,4,6,3,8,2	22
9,4,10,8,2,12	27
11,1,5,9,0,2	46
11,4,6,10,8,2	32
11,1,5,9,0,8	36
11,4,3,8,2,12	36
9,7,10	242
9,7,12	241
1,9,4,3,10,2,12	16
11,9,7,6,8,12	31
1,5,7,4,3,0,2	24
1,9,7,4,0,12	36
11,5,10,0,8,12	37
1,5,6,10,0,8,2	23
1,5,7,4,3,0,8	16
11,5,7,3,0,8,12	16
5,9,10,0,8,12	26
5,7,4,0,8,12	32
1,5,3,8,2,12	40
9,7,4,3,0,8,2	21
9,8,12	201
5,9,7,0,8	58
9,4,6,3,0,8	33
11,5,7,0,8,2,12	21
5,7,4,6,3,10,0	16
11,7,4,6,10,0,12	17
1,4,6,8,12	59
11,1,9,4,8,2	32
11,1,5,4,3,0,8	23
1,9,7,4,3,0,12	16
11,1,5,4,3,0,2	31
9,4,3,0,8,2,12	18
11,1,7,0,12	75
5,9,7,0,2	62
5,9,7,3,0,2,12	21
1,9,7,10,12	60
11,1,6,10,8,12	30
1,5,6,10,8,2	35
11,9,6,3,2,12	32
11,1,9,7,4,8,2	17
11,1,9,7,4,6,8	23
1,9,3,10,0,2	31
1,7,0,8,2	68
9,6,0,12	117
11,1,9,7,4,6,3	18
1,9,3,10,0,8	34
11,4,3,10,8	73
11,4,3,10,2	71
11,4,3,10,0	73
1,5,9,4,6,0,12	16
9,4,3,10,0,8,2	18
9,4,6,3,0,2	33
1,7,4,0,8,2	33
9,6,3,10	109
11,1,4,6,0,8	36
9,6,3,12	109
1,6,3,10,0,12	35
11,1,4,6,0,2	30
5,9,3,10,0,12	31
5,9,7,4,3,2,12	19
11,1,7,2,12	66
11,1,5,9,4,0	39
5,7,4,3,0,8,2	20
1,5,4,6,3,10,12	17
11,1,5,9,4,2	36
11,9,7,6,3,12	34
11,1,5,9,4,3	35
11,9,7,6,3,10	27
11,1,9,7,4,6,0	21
11,1,5,9,4,6	34
11,9,6,3,0,12	30
11,7,0,2,12	65
11,9,6,8,12	54
11,1,5,9,4,8	31
1,5,7,3,8,12	28
11,5,9,7,10,0,8	19
9,6,2,12	124
1,9,6,8,2	65
1,9,4,3,0,12	35
11,1,7,3,12	59
11,1,7,3,10	67
1,9,7,6,10,12	23
1,5,4,3,10,0,8	16
1,9,10,12	121
11,1,5,9,3,0	40
3,10,12	219
11,1,5,9,3,2	44
11,5,4,0,8	67
11,7,10,0,8	67
11,1,5,9,3,8	32
11,5,3,10,0,12	41
11,5,4,0,2	73
11,7,10,0,2	66
9,7,6,3,0,8,2	19
11,5,9,3,8,12	27
1,6,10,0,8,12	35
11,1,9,7,4,3,2	17
11,1,9,7,4,3,0	21
5,9,3,10,2,12	28
11,1,7,4,12	64
1,6,3,10,2,12	33
11,1,7,4,10	71
11,7,4,3,10,12	34
5,9,7,4,3,0,12	19
11,1,9,7,4,3,8	19
1,5,3,10,12	58
11,5,9,7,0,2,12	23
1,5,4,3,10,0,2	20
11,5,4,3,10,8,12	20
11,5,7,4,3,8,12	16
11,6,8,12	112
9,7,8,2,12	54
11,1,9,3,0,8,2	23
11,5,4,3,2	81
1,5,4,3,0,2,12	27
11,5,4,3,0	80
1,9,4,3,2,12	38
4,10,0,2,12	60
11,5,9,4,3,10,0	19
1,9,7,3,0,2,12	22
5,6,10,2	117
11,4,6,0,8,12	32
5,6,10,0	133
11,5,9,7,10,8	33
11,9,7,6,2,12	35
11,5,9,7,10,2	29
5,6,10,8	123
11,5,9,7,10,0	32
11,5,3,10,2,12	37
11,5,7,3,8,12	30
11,1,5,9,0,2,12	26
5,4,10,0,8,12	32
9,6,3,10,2,12	27
11,1,7,4,8,2	32
11,9,7,6,10,12	28
11,4,6,3,8,2,12	20
11,1,4,10,8,12	34
7,6,3,0,12	55
11,5,9,3,0,8,12	19
11,1,9,7,3,0,12	23
1,5,4,10,0,8,2	22
4,3,10,2	115
11,5,10,0,8,2,12	20
11,3,10,8	128
1,9,7,6,10	58
4,3,10,0	122
11,9,4,3,2,12	33
1,9,7,6,12	56
1,7,3,10,0,12	30
11,3,10,0	141
4,3,10,8	122
11,3,10,2	122
11,6,3,0,2	73
1,9,0,8,2	66
5,7,6,3,10,8	24
11,1,6,8,2,12	29
11,7,6,3,2	67
11,7,6,3,0	59
1,5,9,7,6,10	29
1,5,9,7,6,12	26
11,6,3,10,0,12	30
5,7,6,3,10,0	32
11,1,9,10,8,2	27
5,7,6,3,10,2	23
5,4,3,0,8,12	31
5,7,4,10,2,12	24
11,5,9,7,4,3,12	18
11,1,5,6,3,10,8	20
11,9,10,0,2,12	29
1,7,0,12	123
11,1,5,6,3,10,2	17
11,1,5,4,10,2,12	24
11,1,5,6,3,10,0	23
1,5,9,0,8,2	35
1,0,12	236
5,9,4,6,8,12	25
11,1,9,4,10,2	28
6,3,0,8,2,12	38
5,4,0,2	135
11,1,9,4,10,8	35
11,1,7,4,6,0	30
11,1,3,0,12	68
9,6,3,10,0,12	23
11,1,7,4,6,2	28
1,5,4,0,8,12	40
11,7,4,6,0,8,2	18
5,4,3,10,12	53
11,1,7,4,6,3	38
5,4,0,8	123
1,7,3,12	110
11,1,7,4,6,8	35
11,5,9,7,4,6,12	16
1,9,7,8,12	60
1,7,3,10	107
11,9,4,3,0,12	28
1,7,3,10,2,12	23
5,9,3,10,2	48
11,6,3,0,8	67
11,5,9,10,12	66
5,9,3,10,8	40
11,7,6,3,8	70
11,5,6,0,8,12	30
1,4,10,8,2	63
5,9,3,10,0	57
1,5,9,7,8,12	33
11,1,5,7,4,0,8	19
11,5,9,0,8,2,12	21
11,1,5,7,4,0,2	23
7,0,2,12	120
11,6,3,10,2,12	28
11,1,5,9,10,0,2	18
9,6,8,12	110
7,10,0,8	114
11,1,9,0,8,12	41
11,1,5,4,3,8,2	25
1,7,2,12	124
1,5,7,4,6,0,2	17
11,1,5,9,10,0,8	19
7,10,0,2	108
11,1,5,4,10,0,12	19
11,1,9,4,10,0	38
1,2,12	242
5,7,3,0,8	61
11,9,8,2	119
5,9,4,6,2,12	28
1,5,4,10,0,8	38
1,9,7,3,0,2	35
11,5,9,7,4,0,12	24
11,1,0	273
11,1,3,2,12	66
1,6,10,8,2,12	28
5,7,3,0,2	75
11,5,7,4,0,8,2	21
5,7,3,0,8,2	38
1,9,7,3,0,8	34
1,7,3,10,12	47
1,5,4,10,0,2	38
7,3,10,0,8,2	21
11,0,8	243
11,5,3,10,8,2,12	17
4,3,10,0,8,2,12	17
11,1,5,10,0,8,2	22
1,5,4,0,2,12	43
11,0,2	260
1,4,10,0,8	71
1,6,3,10,0,8,2	22
5,4,3,2	134
5,4,3,0	137
11,1,5,7,6,10,2	18
9,7,4,0,8,2	39
11,1,5,7,6,10,0	20
1,3,10	230
1,9,7,2,12	63
1,3,12	237
5,9,4,6,3,10	21
9,7,6,10,0,8,2	17
11,5,6,0,2,12	40
5,9,4,6,3,12	23
5,7,10,0,8,2	31
1,5,7,3,10,12	25
11,9,6,10,0	59
11,9,6,10,2	58
11,1,9	277
1,7,4,12	110
11,1,8	246
11,1,7	265
11,1,6	251
11,1,5	261
11,1,4	264
11,9,6,10,8	60
11,1,3	257
11,1,2	253
1,7,4,10	126
1,9,7,3,10	45
11,1,7,4,6,3,10	22
1,4,10	263
1,5,9,7,2,12	32
6,3,10,0,8,12	30
5,4,10,0,2,12	33
1,4,12	231
11,4,6,10,12	70
1,9,7,3,12	53
1,7,4,6,8,2	27
11,9,6,3	127
11,9,6,2	141
6,10,0,2,12	63
11,9,6,0	136
5,4,3,10,8,2	30
11,7,6,8,2	71
1,5,9,7,3,10	26
1,5,9,4,0,8,12	21
11,5,9,3,10,12	33
11,3,2	255
1,4,0,8,12	68
11,3,0	259
11,9,6,8	120
11,5,7,10,0,2,12	17
11,5,7,0,12	68
11,1,7,4,6,0,12	16
11,5,9,7,4,2,12	19
1,5,3,8,12	64
1,5,9,7,3,12	28
1,9,7,4,12	58
1,9,7,4,10	61
1,5,10	251
5,4,0,8,2,12	40
1,5,12	241
11,9,7,4	139
11,9,7,3	134
11,9,7,2	136
1,5,7,10,0	66
5,4,3,8	124
11,9,7,0	138
1,5,7,10,2	67
1,5,9,7,4,10	30
11,5,6,10,0,8	39
11,4,3	273
11,4,2	257
5,7,4,3,8,2	33
1,5,7,10,8	59
11,4,0	255
11,9,7,8	130
11,5,6,10,0,2	32
11,9,7,6	132
9,4,10,0,12	54
5,7,4,10,0,12	32
11,3,8	240
1,7,6,10	125
11,5,10,8,2,12	30
1,7,6,12	114
1,6,10	258
1,5,9,7,4,12	27
1,6,12	238
1,0,8,2	130
1,5,9,4,0,2,12	22
9,7,10,8,12	56
11,1,4,8	135
11,9,4,0,2	68
11,1,4,6	135
5,4,6,8	127
9,7,4,0,2	72
11,1,4,3	143
11,1,4,2	134
11,5,4	256
11,1,9,7,3,8,12	16
11,5,3	260
11,5,2	277
9,7,4,0,8	73
11,5,7,2,12	70
11,5,0	264
11,1,7,4,0,2	36
11,9,7,4,6,3,2	19
4,8,2,12	111
1,5,9,4,10,0,8	16
11,9,7,4,6,3,0	20
1,5,9,4,10,0,2	16
11,1,5,7,4,8,2	21
11,4,8	246
11,4,6	258
11,1,7,4,0,8	32
1,9,4,10,0,2,12	17
11,1,4,10,0,12	36
11,1,9,10,0,8	38
11,1,4,0	141
1,7,10	246
1,7,12	234
1,9,4,3,0,2,12	23
6,3,0,8,12	62
11,8,2,12	107
11,1,6,3,10,0	37
11,1,5,9	137
11,1,9,10,0,2	35
11,1,5,8	121
5,7,6,8,2,12	32
11,1,6,3,10,2	32
11,1,5,7	133
7,0,8,12	112
11,1,5,6	133
11,1,5,4	137
7,4,10,0	119
11,1,5,3	131
11,6,3,8,2	73
11,5,9,4,3,2,12	21
11,1,6,3,10,8	42
11,6,3	248
11,6,2	265
11,1,5,7,4,6,8	16
11,6,10,0,12	63
11,6,0	257
5,6,0,8,2	72
11,5,7,3,10	66
11,5,7,3,12	60
9,6,3,10,0	55
11,5,9	259
1,7,8,12	108
11,5,8	235
11,5,7	255
11,5,6	255
1,8,12	220
11,1,5,2	144
7,4,10,2	106
11,5,9,3,10,0,8	17
11,5,7,3,0,12	33
11,1,9,0,2,12	41
11,1,5,0	143
5,4,6,2	132
9,6,3,10,2	51
5,4,6,3	130
5,4,6,0	132
9,6,3,10,8	58
11,9,4,0,8	65
11,5,9,3,10,0,2	17
7,4,10,8	125
11,1,7,10,8	64
5,10,0	253
11,1,7,10,2	67
5,10,2	234
11,9,7,4,6,0,8	21
11,5,4,6,10,8	36
11,7,6	256
11,1,7,10,0	74
11,7,4	265
11,7,3	251
5,10,8	229
11,7,2	256
11,1,5,6,8,2	37
11,9,7,4,6,0,2	20
11,7,0	244
11,5,4,6,10,0	36
11,1,3,8,12	61
11,5,7,4,10	68
11,5,4,6,10,2	30
11,5,7,4,12	69
11,6,8	238
11,5,9,3,0,2,12	26
1,9,10	246
5,9,8,2,12	54
1,9,12	235
11,1,3,8	129
11,9,4,3,8	68
11,6,10,2,12	57
5,6,3,10,0,8,12	16
1,9,7,4,3,0,8	19
11,1,9,6,10,0,8	22
1,7,4,6,3,0	31
11,1,3,2	132
11,9,4,3,2	75
11,9,4,3,0	67
7,6,3,8,12	55
5,7,4,10,12	55
1,7,4,6,3,2	34
1,5,3,0,8,2,12	27
1,7,4,6,3,8	39
11,1,9,6,10,0,2	18
11,8,2	238
1,5,3,10,0,8,12	19
11,1,5,4,10,8,12	18
11,1,9,6,0,2,12	19
11,5,7,10,0,8,12	17
11,7,8	250
11,5,7,3,2,12	31
11,1,3,0	137
1,9,4,3,10,0,2	20
1,9,7,4,3,0,2	23
5,4,8,2	125
1,5,9,7,0,12	31
7,10,8,2	111
1,9,4,3,10,0,8	20
11,9,0	274
9,7,6,10,8	63
11,1,0,2	136
5,7,10,2,12	56
11,5,0,8,2	72
11,9,8	231
11,9,7	274
11,9,6	256
11,1,5,7,4,3,8	18
11,9,4	260
11,1,0,8	132
1,9,0,2	130
11,9,3	262
11,9,2	268
11,5,7,6,12	61
5,4,6,3,0,2	42
5,7,3,8,2	71
1,9,0,8	123
11,1,5,3,0,8,2	24
11,5,7,6,10	60
9,7,6,10,2	57
9,7,6,10,0	57
5,4,6,3,0,8	35
11,1,7,4,3,0	35
11,1,7,4,3,2	38
11,1,5,7,4,3,2	24
11,1,5,7,4,3,0	24
11,9,4,10,0,8,2	20
11,1,7,4,3,8	36
11,1,3,0,8,2	35
11,1,5,7,10,12	35
1,4,3,10,0,8,2	22
11,1,5,9,7,0,8,2	16
11,1,5,9,4,10,0	17
5,7,10,0,12	62
11,9,4,6,8	61
11,1,9,4,6,10,8	23
1,7,4,6,0,2	29
11,9,4,6,3	67
11,9,4,6,2	65
11,9,4,6,0	64
11,1,5,9,0,8,12	26
11,1,5,7,4,6,2	17
1,7,4,6,0,8	30
11,1,5,7,4,6,3	20
11,1,9,7,3,2,12	19
11,1,5,7,4,6,0	18
11,1,4,3,8,2	44
3,0,2	249
7,6,3,2,12	64
11,5,7,8,12	59
11,1,5,9,4,10,8	16
11,1,4,10,2,12	36
1,9,4,3,0,8,12	21
11,9,6,10,8,2	29
1,9,4,10,8,2	29
3,0,8	235
1,7,6,3,8,2,12	18
6,3,0,2,12	75
9,4,3,0,2	69
1,5,7,6,3,8,2	24
11,5,9,4,3,0,12	19
11,9,7,4,6,3,8	22
5,9,7,0,8,2	33
9,4,3,0,8	62
11,1,5,0,8	72
6,3,10,0,8	66
11,9,10,0,8,12	31
6,3,10,0,2	63
11,5,6,3,10,0,12	18
11,1,9,4,6,10,2	16
5,7,4,10,8,12	27
1,5,6,3,0,8,2	26
11,9,3,8,2,12	29
11,1,5,0,2	80
11,1,9,4,6,10,0	21
1,9,4,0	133
1,9,4,2	127
1,7,6,10,8,12	18
1,9,4,0,8,2,12	24
1,9,4,8	129
1,7,6,3,10,0,2	16
11,9,4,8,2	57
1,9,4,3	136
1,9,4,6	135
1,5,6,10,12	59
11,4,6,3,0,2,12	18
11,7,8,12	112
9,7,4,6,0,8,2	19
9,7,4,8,2	56
11,4,6,3,10,0,2	19
1,9,3,0	129
11,6,10,8,12	57
1,7,6,3,0,2,12	20
5,9,7,6,0,2,12	17
1,9,3,8	125
11,9,6,0,8,12	32
1,9,3,2	139
1,5,3,10,0,2,12	23
9,6,8,2,12	59
7,6,3,10,0,12	24
11,4,6,3,10,0,8	20
9,7,4,6,2	68
1,9,6,2	135
11,9,10,8,2,12	26
9,7,4,6,3	65
1,9,6,3	128
11,1,5,4,0	77
1,9,6,0	126
9,7,4,6,8	64
11,1,9,10,0,8,2	20
11,9,7,3,8,12	31
1,9,6,8	133
11,10,0,2,12	63
11,1,5,3,8	63
11,7,6,12	129
11,1,6,10,0,8,12	18
11,1,5,6,0,2	39
11,7,6,10	131
1,9,3,10,0	59
11,1,5,3,2	77
11,1,5,3,0	78
11,1,5,6,0,8	37
11,0,8,2	127
1,5,9,7,10,2,12	17
11,1,5,7,3,0,12	23
9,7,4,6,0	68
1,9,3,10,2	52
5,7,6,0,8,2	34
1,9,3,10,8	56
1,9,7,4,10,0,12	17
1,5,9,7,3,8,2	20
1,9,4,3,10,8,2	18
1,9,4,0,8,12	39
1,4,3,10,12	57
1,9,7,4,3,8,2	16
11,5,9,0,8	59
11,5,9,0,2	75
11,1,5,4,3	75
11,1,5,4,2	82
11,1,5,4,8	69
11,1,5,4,6	71
11,1,7,6,10,0	35
9,3,0,8,2	69
11,1,5,6,2	71
11,1,5,6,0	73
1,9,8,2	122
11,1,7,6,10,2	34
1,9,7,6,8,2,12	17
11,1,7,6,10,8	30
11,5,9,0,8,12	34
11,9,6,0,2,12	33
11,7,4,12	133
11,7,4,10	147
11,1,9,3,8,2,12	20
1,5,4,8,2,12	42
1,9,7,3	116
1,9,7,2	121
11,9,6,10,0,2	31
9,7,4,3,0	64
1,9,7,4	121
11,1,5,7,3	67
9,7,4,3,2	67
11,1,5,7,2	72
11,1,5,7,0	71
1,9,7,0	124
11,5,7,4,6,3	34
1,9,4,0,2,12	37
9,7,4,3,8	60
11,1,9,6,0,8,12	24
11,9,6,10,0,8	35
11,5,7,4,6,8	30
1,9,7,6	123
1,7,3,0,2	70
1,9,7,8	128
1,5,6,3,8,2,12	23
11,5,9,4,10,8	29
11,5,7,4,6,0	33
1,7,3,0,8	64
5,3,0,12	128
11,5,7,4,6,2	32
